Restaurant Name	Area / Location	Cuisine Type	Price Range (for 2)	Veg/Non-Veg	Ambience	Rating	Tags
Big Chill Cafe	Khan Market	Italian/Continental	2500	Both	Casual	4.8	Movie Posters, Iconic
Sandoz	Connaught Place	North Indian	1500	Both	Casual	4.2	Family, Classics
Sushiya	Various	Japanese	1200	Both	Quick Service	4.1	Value-for-money
Potbelly Rooftop	Shahpur Jat	Bihari	1800	Both	Rooftop	4.5	Offbeat, Vibrant
Andhra Bhavan	Ashoka Road	South Indian	600	Both	Canteen	4.6	Thali, Crowded
United Coffee House	Connaught Place	Continental/Indian	2500	Both	Retro Casual	4.4	Heritage, Vintage
Mahabelly	Saket	Kerala	1800	Both	Casual	4.5	Seafood, Regional
Gulati	Pandara Road	North Indian	2500	Both	Casual	4.6	Butter Chicken, Family
Sitaram Diwanchand	Paharganj	Chole Bhature	300	Veg	Street Food	4.7	Breakfast, Famous
Natraj Dahi Bhalla	Chandni Chowk	Chaat	150	Veg	Street Food	4.6	Heritage, Quick Bite
Al Jawahar	Jama Masjid	Mughlai	1200	Non-Veg	Casual	4.4	Nihari, Old Delhi
Khan Chacha	Khan Market	Rolls/Kebabs	800	Both	Casual	4.1	Quick Bite, Famous
Bittoo Tikki Wala	Pitampura	Chaat	400	Veg	Quick Service	4.2	Spicy, Street Food
Dolma Aunty Momos	Lajpat Nagar	Tibetan/Momos	200	Both	Street Food	4.3	Student-favorite
Kuremal Mohan Lal	Chawri Bazar	Stuffed Kulfi	300	Veg	Dessert Parlor	4.8	Unique, Summer
Karim's	Jama Masjid	Mughlai	1200	Non-Veg	Casual	4.5	Iconic, Meat-lovers
Kiyan - The Roseate	NH8	Global	5000	Both	Fine Dining	4.6	Water-body, Luxury
Comorin	Gurgaon	Modern Indian	3000	Both	Casual-Fine	4.7	Creative, Bar
Sevilla	Aurangzeb Road	Spanish	6000	Both	Fine Dining	4.5	Romantic, Canopy
Lodi - The Garden	Lodhi Road	European	3000	Both	Garden Dining	4.3	Greenery, Outdoor
Wenger's	Connaught Place	Bakery	600	Both	Takeaway	4.7	Heritage, Pastries
Perch Wine & Coffee	Khan Market	European	3000	Both	Casual-Fine	4.5	Wine, Aesthetic
Fig & Maple	GK II	Contemporary	2500	Both	Rooftop	4.6	Farm-to-fork, Brunch
Tres	Lodhi Colony	European	4000	Both	Fine Dining	4.5	Gourmet, Intimate
Pa Pa Ya	Saket	Modern Asian	3500	Both	Casual-Fine	4.4	High-energy, Sushi
Hard Rock Cafe	Connaught Place	American	3000	Both	Casual	4.4	Rock Music, Burgers
Jamie's Italian	Ambience Mall	Italian	2500	Both	Casual	4.1	Pasta, Fresh
Burma Burma	Saket	Burmese	2500	Veg	Casual-Fine	4.7	Tea Room, Unique
Eest	Gurgaon	Asian	5000	Both	Fine Dining	4.6	Teppanyaki, Luxury
A-Sirius	Mehrauli	European/Fusion	4000	Both	Rooftop	4.4	Qutub View, Chic
Nando's	Connaught Place	Afro-Portuguese	2000	Both	Casual	4.1	Peri-Peri Chicken
Zaffran	Connaught Place	Mughlai	2500	Both	Casual	4.3	Biryani, Family
Ping's Caf̩ Orient	Lodhi Colony	Asian	2500	Both	Casual	4.5	Street-style, Trendy
Monkey Bar	Vasant Kunj	Gastropub	2500	Both	Bar	4.2	Fun, Cocktails
Delhi Club House	RK Puram	Fusion	3000	Both	Casual-Fine	4.4	Club Classics
Wok in the Clouds	Khan Market	Multi-cuisine	2500	Both	Casual	4.2	Vibrant, Family
The Great Kabab Factory	Various	North Indian	3000	Both	Fine Dining	4.3	Unlimited Kebabs
Fat Jar Cafe	Kailash Colony	European	2000	Both	Cafe	4.4	Fresh, Artisanal
Andrea's Eatery	Saket	Global	2500	Both	Casual	4.6	Gourmet, Healthy
Cafe Turtle	Khan Market	Vegetarian	1500	Veg	Cafe	4.3	Bookstore, Quiet
Swagath	Defence Colony	Seafood	2500	Both	Casual	4.4	Coastal, Family
Cafe Delhi Heights	Various	Fusion	2000	Both	Casual	4.2	Juicy Lucy Burger
SodaBottleOpenerWala	Khan Market	Parsi	2000	Both	Casual	4.4	Quirky, Irani Cafe
Pita Pit	Various	Healthy Wraps	800	Both	Quick Service	4	Fresh, Fast
Yeti The Himalayan Kitchen	Hauz Khas	Tibetan Nepali	1800	Both	Casual	4.6	Authentic, Cozy
Kylin Experience	Vasant Kunj	Asian	3200	Both	Fine Dining	4.4	Luxury, Sushi
Punjab Grill	Saket	North Indian	3000	Both	Fine Dining	4.5	Luxury Dining
Juggernaut	Kailash Colony	South Indian	1200	Veg	Casual	4.7	Aesthetic, Thali
Music & Mountains Cafe	GK II	European	2500	Both	Cafe	4.5	Rustic, Music
Elma's Bakery	Hauz Khas Village	British	2000	Both	Cafe	4.2	Tea, Vintage
Coast Cafe	Hauz Khas Village	Coastal	2500	Both	Casual	4.6	Balcony, Appams
Cafe Dori	Chhatarpur	European	2500	Both	Cafe	4.4	Concept Store, Aesthetic
Plats	Malviya Nagar	Global	3000	Both	Casual-Fine	4.7	Chef-led, Innovative
Dramz	Mehrauli	European	4500	Both	Rooftop	4.2	Whisky Bar, Qutub View
Rooh	Mehrauli	Progressive Indian	5000	Both	Fine Dining	4.6	Modern, Gastronomy
Swan	Mehrauli	Italian Japanese	4000	Both	Casual-Fine	4.5	Terrace, Trendy
Koji	Aerocity	Japanese	4500	Both	Fine Dining	4.4	Sashimi, Luxury
Berco's	Connaught Place	Chinese Thai	1800	Both	Casual	4.2	Family, Reliable
Mamagoto	Khan Market	Pan Asian	2500	Both	Casual	4.4	Funky, Manga
Diva	GK II	Italian	4000	Both	Fine Dining	4.5	Wine, Gourmet
Artusi Ristorante	GK II	Italian	4500	Both	Fine Dining	4.7	Authentic Pasta
La Piazza	Bhikaji Cama Place	Italian	4500	Both	Fine Dining	4.6	Wood-fired Pizza
Rajinder Da Dhaba	Safdarjung	North Indian	1200	Both	Dhaba	4.5	Galouti Kebab
Kwality	Connaught Place	North Indian	3000	Both	Fine Dining	4.6	Heritage, Classics
Chor Bizarre	Bikaner House	Kashmiri	3500	Both	Fine Dining	4.4	Wazwan, Vintage
Sidecar	GK II	Global Bar	3500	Both	Bar	4.8	Cocktails, Best Bar
PCO	Vasant Vihar	European Bar	4000	Both	Speakeasy	4.5	Secret, Classic
Cirrus 9	Oberoi Delhi	Finger Food	5000	Both	Rooftop	4.6	Luxury, View
The Piano Man	Safdarjung	Global	3000	Both	Live Music	4.6	Jazz, Ambience
Social	Hauz Khas Village	Global	2000	Both	Casual	4.3	Youthful, View
Farzi Cafe	Connaught Place	Modern Indian	3000	Both	Casual-Fine	4.4	Molecular, Fun
Colocal	Chhatarpur	Cafe Chocolate	2000	Both	Cafe	4.5	Courtyard, Artisanal
LOpera	Khan Market	French Bakery	1200	Both	Cafe	4.5	Macarons, Elegant
Restaurant Name	Area / Location	Cuisine Type	Price Range (for 2)	Veg/Non-Veg	Ambience	Rating	Tags
Sample Restaurant 1	Noida Sector 18	Italian	1500	Both	Fine Dining	4.1	Tag2, Popular
Sample Restaurant 2	Cyber Hub	Chinese	2000	Both	Cafe	4.2	Tag3, Popular
Sample Restaurant 3	Greater Kailash	Japanese	2500	Both	Rooftop	4.3	Tag4, Popular
Sample Restaurant 4	Defence Colony	Cafe	3000	Both	Casual-Fine	4.4	Tag5, Popular
Sample Restaurant 5	Hauz Khas	Mediterranean	3500	Both	Bar	4.5	Tag1, Popular
Sample Restaurant 6	Connaught Place	Asian	1000	Both	Casual	4.6	Tag2, Popular
Sample Restaurant 7	Gurgaon	Continental	1500	Both	Fine Dining	4.7	Tag3, Popular
Sample Restaurant 8	Rajouri Garden	Mexican	2000	Both	Cafe	4.8	Tag4, Popular
Sample Restaurant 9	Dwarka	Thai	2500	Both	Rooftop	4.9	Tag5, Popular
Sample Restaurant 10	Aerocity	North Indian	3000	Both	Casual-Fine	4	Tag1, Popular
Sample Restaurant 11	Noida Sector 18	Italian	3500	Both	Bar	4.1	Tag2, Popular
Sample Restaurant 12	Cyber Hub	Chinese	1000	Both	Casual	4.2	Tag3, Popular
Sample Restaurant 13	Greater Kailash	Japanese	1500	Both	Fine Dining	4.3	Tag4, Popular
Sample Restaurant 14	Defence Colony	Cafe	2000	Both	Cafe	4.4	Tag5, Popular
Sample Restaurant 15	Hauz Khas	Mediterranean	2500	Both	Rooftop	4.5	Tag1, Popular
Sample Restaurant 16	Connaught Place	Asian	3000	Both	Casual-Fine	4.6	Tag2, Popular
Sample Restaurant 17	Gurgaon	Continental	3500	Both	Bar	4.7	Tag3, Popular
Sample Restaurant 18	Rajouri Garden	Mexican	1000	Both	Casual	4.8	Tag4, Popular
Sample Restaurant 19	Dwarka	Thai	1500	Both	Fine Dining	4.9	Tag5, Popular
Sample Restaurant 20	Aerocity	North Indian	2000	Both	Cafe	4	Tag1, Popular
Sample Restaurant 21	Noida Sector 18	Italian	2500	Both	Rooftop	4.1	Tag2, Popular
Sample Restaurant 22	Cyber Hub	Chinese	3000	Both	Casual-Fine	4.2	Tag3, Popular
Sample Restaurant 23	Greater Kailash	Japanese	3500	Both	Bar	4.3	Tag4, Popular
Sample Restaurant 24	Defence Colony	Cafe	1000	Both	Casual	4.4	Tag5, Popular
Sample Restaurant 25	Hauz Khas	Mediterranean	1500	Both	Fine Dining	4.5	Tag1, Popular
Sample Restaurant 26	Connaught Place	Asian	2000	Both	Cafe	4.6	Tag2, Popular
Sample Restaurant 27	Gurgaon	Continental	2500	Both	Rooftop	4.7	Tag3, Popular
Sample Restaurant 28	Rajouri Garden	Mexican	3000	Both	Casual-Fine	4.8	Tag4, Popular
Sample Restaurant 29	Dwarka	Thai	3500	Both	Bar	4.9	Tag5, Popular
Sample Restaurant 30	Aerocity	North Indian	1000	Both	Casual	4	Tag1, Popular
Sample Restaurant 31	Noida Sector 18	Italian	1500	Both	Fine Dining	4.1	Tag2, Popular
Sample Restaurant 32	Cyber Hub	Chinese	2000	Both	Cafe	4.2	Tag3, Popular
Sample Restaurant 33	Greater Kailash	Japanese	2500	Both	Rooftop	4.3	Tag4, Popular
Sample Restaurant 34	Defence Colony	Cafe	3000	Both	Casual-Fine	4.4	Tag5, Popular
Sample Restaurant 35	Hauz Khas	Mediterranean	3500	Both	Bar	4.5	Tag1, Popular
Sample Restaurant 36	Connaught Place	Asian	1000	Both	Casual	4.6	Tag2, Popular
Sample Restaurant 37	Gurgaon	Continental	1500	Both	Fine Dining	4.7	Tag3, Popular
Sample Restaurant 38	Rajouri Garden	Mexican	2000	Both	Cafe	4.8	Tag4, Popular
Sample Restaurant 39	Dwarka	Thai	2500	Both	Rooftop	4.9	Tag5, Popular
Sample Restaurant 40	Aerocity	North Indian	3000	Both	Casual-Fine	4	Tag1, Popular
Sample Restaurant 41	Noida Sector 18	Italian	3500	Both	Bar	4.1	Tag2, Popular
Sample Restaurant 42	Cyber Hub	Chinese	1000	Both	Casual	4.2	Tag3, Popular
Sample Restaurant 43	Greater Kailash	Japanese	1500	Both	Fine Dining	4.3	Tag4, Popular
Sample Restaurant 44	Defence Colony	Cafe	2000	Both	Cafe	4.4	Tag5, Popular
Sample Restaurant 45	Hauz Khas	Mediterranean	2500	Both	Rooftop	4.5	Tag1, Popular
Sample Restaurant 46	Connaught Place	Asian	3000	Both	Casual-Fine	4.6	Tag2, Popular
Sample Restaurant 47	Gurgaon	Continental	3500	Both	Bar	4.7	Tag3, Popular
Sample Restaurant 48	Rajouri Garden	Mexican	1000	Both	Casual	4.8	Tag4, Popular
Sample Restaurant 49	Dwarka	Thai	1500	Both	Fine Dining	4.9	Tag5, Popular
Sample Restaurant 50	Aerocity	North Indian	2000	Both	Cafe	4	Tag1, Popular
Sample Restaurant 51	Noida Sector 18	Italian	2500	Both	Rooftop	4.1	Tag2, Popular
Sample Restaurant 52	Cyber Hub	Chinese	3000	Both	Casual-Fine	4.2	Tag3, Popular
Sample Restaurant 53	Greater Kailash	Japanese	3500	Both	Bar	4.3	Tag4, Popular
Sample Restaurant 54	Defence Colony	Cafe	1000	Both	Casual	4.4	Tag5, Popular
Sample Restaurant 55	Hauz Khas	Mediterranean	1500	Both	Fine Dining	4.5	Tag1, Popular
Sample Restaurant 56	Connaught Place	Asian	2000	Both	Cafe	4.6	Tag2, Popular
Sample Restaurant 57	Gurgaon	Continental	2500	Both	Rooftop	4.7	Tag3, Popular
Sample Restaurant 58	Rajouri Garden	Mexican	3000	Both	Casual-Fine	4.8	Tag4, Popular
Sample Restaurant 59	Dwarka	Thai	3500	Both	Bar	4.9	Tag5, Popular
Sample Restaurant 60	Aerocity	North Indian	1000	Both	Casual	4	Tag1, Popular
Sample Restaurant 61	Noida Sector 18	Italian	1500	Both	Fine Dining	4.1	Tag2, Popular
Sample Restaurant 62	Cyber Hub	Chinese	2000	Both	Cafe	4.2	Tag3, Popular
Sample Restaurant 63	Greater Kailash	Japanese	2500	Both	Rooftop	4.3	Tag4, Popular
Sample Restaurant 64	Defence Colony	Cafe	3000	Both	Casual-Fine	4.4	Tag5, Popular
Sample Restaurant 65	Hauz Khas	Mediterranean	3500	Both	Bar	4.5	Tag1, Popular
Sample Restaurant 66	Connaught Place	Asian	1000	Both	Casual	4.6	Tag2, Popular
Sample Restaurant 67	Gurgaon	Continental	1500	Both	Fine Dining	4.7	Tag3, Popular
Sample Restaurant 68	Rajouri Garden	Mexican	2000	Both	Cafe	4.8	Tag4, Popular
Sample Restaurant 69	Dwarka	Thai	2500	Both	Rooftop	4.9	Tag5, Popular
Sample Restaurant 70	Aerocity	North Indian	3000	Both	Casual-Fine	4	Tag1, Popular
Sample Restaurant 71	Noida Sector 18	Italian	3500	Both	Bar	4.1	Tag2, Popular
Sample Restaurant 72	Cyber Hub	Chinese	1000	Both	Casual	4.2	Tag3, Popular
Sample Restaurant 73	Greater Kailash	Japanese	1500	Both	Fine Dining	4.3	Tag4, Popular
Sample Restaurant 74	Defence Colony	Cafe	2000	Both	Cafe	4.4	Tag5, Popular
Sample Restaurant 75	Hauz Khas	Mediterranean	2500	Both	Rooftop	4.5	Tag1, Popular
Sample Restaurant 76	Connaught Place	Asian	3000	Both	Casual-Fine	4.6	Tag2, Popular
Sample Restaurant 77	Gurgaon	Continental	3500	Both	Bar	4.7	Tag3, Popular
Sample Restaurant 78	Rajouri Garden	Mexican	1000	Both	Casual	4.8	Tag4, Popular
Sample Restaurant 79	Dwarka	Thai	1500	Both	Fine Dining	4.9	Tag5, Popular
Sample Restaurant 80	Aerocity	North Indian	2000	Both	Cafe	4	Tag1, Popular
Sample Restaurant 81	Noida Sector 18	Italian	2500	Both	Rooftop	4.1	Tag2, Popular
Sample Restaurant 82	Cyber Hub	Chinese	3000	Both	Casual-Fine	4.2	Tag3, Popular
Sample Restaurant 83	Greater Kailash	Japanese	3500	Both	Bar	4.3	Tag4, Popular
Sample Restaurant 84	Defence Colony	Cafe	1000	Both	Casual	4.4	Tag5, Popular
Sample Restaurant 85	Hauz Khas	Mediterranean	1500	Both	Fine Dining	4.5	Tag1, Popular
Sample Restaurant 86	Connaught Place	Asian	2000	Both	Cafe	4.6	Tag2, Popular
Sample Restaurant 87	Gurgaon	Continental	2500	Both	Rooftop	4.7	Tag3, Popular
Sample Restaurant 88	Rajouri Garden	Mexican	3000	Both	Casual-Fine	4.8	Tag4, Popular
Sample Restaurant 89	Dwarka	Thai	3500	Both	Bar	4.9	Tag5, Popular
Sample Restaurant 90	Aerocity	North Indian	1000	Both	Casual	4	Tag1, Popular
Sample Restaurant 91	Noida Sector 18	Italian	1500	Both	Fine Dining	4.1	Tag2, Popular
Sample Restaurant 92	Cyber Hub	Chinese	2000	Both	Cafe	4.2	Tag3, Popular
Sample Restaurant 93	Greater Kailash	Japanese	2500	Both	Rooftop	4.3	Tag4, Popular
Sample Restaurant 94	Defence Colony	Cafe	3000	Both	Casual-Fine	4.4	Tag5, Popular
Sample Restaurant 95	Hauz Khas	Mediterranean	3500	Both	Bar	4.5	Tag1, Popular
Sample Restaurant 96	Connaught Place	Asian	1000	Both	Casual	4.6	Tag2, Popular
Sample Restaurant 97	Gurgaon	Continental	1500	Both	Fine Dining	4.7	Tag3, Popular
Sample Restaurant 98	Rajouri Garden	Mexican	2000	Both	Cafe	4.8	Tag4, Popular
Sample Restaurant 99	Dwarka	Thai	2500	Both	Rooftop	4.9	Tag5, Popular
Sample Restaurant 100	Aerocity	North Indian	3000	Both	Casual-Fine	4	Tag1, Popular

